,review
185,"I came here for Christmas Eve Dinner. Ambience on point. Loved the decor. Seats were a little uncomfortable (metal wire? With no cushions).The staff were very nice. We were seated quickly despite not having a prior reservation. Our server was attentive and helpful, offering to take a picture for us and going to far as to get the perfect lighting for the picture. He was a great help when we were deciding on our order.The focaccia was amazing. Hands down the best I've ever had. The entire table gobbled everything up, and we probably got 2 refills. I don't recall which drink I had, but both my brothers and my own were non-alcoholic (got different ones). We loved both. My dad got the espresso martini, which he enjoyed. I don't recall everything we got, but I do remember my mom getting a seafood pasta dish. I had the lasagna, which was yummy. I liked my dad's dish more, though. He had the white truffle mushroom ravioli. The flavor was lighter compared to my dish, but you could definitely taste the truffle. I think we got the crab cakes (also good), and I really want to say my brother had the risotto.Parking was pretty easy, we got a spot on the same block. The restaurant wasn't horribly busy, either."
186,"Very good restaurant! I ordered the lobster ravioli which was really good, and was also a big fan of both the bruschetta and calamari. I thought the brussel sprouts were just okay, and also thought the (free) bread was not very good (but again, it's free so can't complain too much there). The service was fantastic though - great recommendations on both wine and food, and incredibly kind and attentive! It's also a nice space, great for dinner with friends or a date night."
187,"I was craving italian food and this place really hit the spot. I love how on a nice day in the city you can eat outside on the sidewalk area but even the inside is a vibe too. They have cute plants on the wall and ambience is pretty upscale. Service was great and the food was SOOO delicious. Omg. The flavors of the sauces were just amazing. We got the gnocchi, beef tar tar and seafood pasta. All so good. I would definitely come here again"
188,"good simple Italian fare with solid pastas and pizzas. no gimmicks needed, just the type of place you and a few friends would enjoy sunday dinner together family style.  Amatriciana was the standout here, no pancetta substitute here, guanciale all the way!Food: 8/10Value: 8/10Service: 7/10Vibe: 8/10"
189,"Came out for a much-needed date night and Bottega was the perfect spot to go to. First off, the decor is amazing. Florals everywhere and a cute neon pink sign, it meets the needs for both girl brunch and romantic date night. We chose a seat by the open window so we could enjoy the warm weather and people-watch during our meal. For the food, we started off with the burrata alla caprese which is essentially just a caprese salad but with burrata instead of mozzarella cheese. Very creamy and refreshing, a nice way to start off the meal. They also bring out complimentary house focaccia throughout the meal which is buttery, soft, and savory. For my main, I decided to get the gnocchi with the bolognese sauce while my husband opted for the sacchetti. My meal was definitely the heavier and filling of the two - they don't skimp on the portion of pasta and the meat sauce is rich on its own. While my husband's meal portion is probably not enough to fill up someone who is pretty hungry, the dish itself was fantastic. I'm normally not a fan of blue cheese, but the combo of blue cheese, pears, and walnuts was spot on. The dish comes in a white cream sauce which pairs very well with the other flavors on the plate. A must-try. Even when I'm full after my meal, I'm a sucker for whatever dessert item looks unique. Here, it was the limoncello mascarpone cake. I was a little worried it would be too much on the lemony side, but the lemon flavor was actually just the right amount. Mixed in with the fluffy cake and the creamy mascarpone, this was the absolute perfect, refreshing yet satisfying dessert to end our meal. Bottega is a must-try! Looking forward to our next visit."
190,"Wow, wow, wow! Bottega blew me away with their amazing food and service. I went there with my wife on a Friday afternoon, and we had a blast. We got a window seat with a nice view of the street, and the hostess was super nice and helpful. She gave us some awesome recommendations, and we trusted her.The food was out of this world, some of the best Italian food I've ever had. It reminded me of my time in Florence, where I ate like a king. The hostess is Italian, so she knows her stuff. She doesn't serve any of that fake Americanized pasta that you find at some other places. She makes it fresh and authentic, just like mama used to make.We started with the vegetarian croquettes with black truffle sauce, which were crunchy and yummy. I usually don't like black truffle, but this sauce was the bomb. Then we had the rigatoni arabiatta and the pesto rigatoni with burrata. Both dishes were heavenly, with fresh tomatoes, handmade pasta, and spicy and fragrant sauces. The burrata was creamy and dreamy, and went well with the pesto.We were too stuffed for dessert, but we will definitely come back to try more dishes. The service was fast and friendly, the interior was cozy and classy, and the ambience was lively and warm. I highly recommend Bottega to anyone who loves Italian food. It's a hidden gem in the city."
191,"I love taking my friends to Bottega- it's definitely one of my favorite spots for Italian in the city! I always leave feeling happy and satisfied with everything. Service is consistently good too. Food is absolutely amazing. I've tried the Mezzemaniche Boscaiola with Pink Sauce ($23) and I highly recommend it. The pasta is perfectly cooked and the sauce is so creamy and flavorful. Love that you can omit the peas since I don't like them. I also got the Pomodori Bruschetta ($10), Milliefoglie alla Crema and Tiramisu (both $10) and they did not disappoint! Also, worth mentioning that the interior is spacious and well decorated. If you're looking for a great Italian spot in the city I definitely recommend checking Bottega out."
192,"This is one of my go to Italian places these days. It's great for any type of occasion. The pastas are one of the best in the city and the ambiance is very inviting. I always order the artichokes, but highly suggest getting the fungi pizza, salmon fettucini, or anything with their truffle sauce. The servers are also super nice and most of them are from Italy or somewhere in Europe. There can be a wait sometimes, but at least there's yelp waitlist!"
193,"This is my favorite place to get pasta in the city or to order on DoorDash! It's so aesthetic, perfect for dinner out with the girlies or date night. Depending on when you come, there may or may not be a wait. There is an option to add yourself onto the Yelp waitlist remotely which is convenient. We always get wine to pair with our dinner. My two go-to pastas are the:*amatriciana: the spicy tomato sauce with the guanciale is so good; the perfect combination of spiciness with warm pasta*mezzemaniche boscaiola with pink sauce: the pink sauce is so creamy and flavorfulParking wise, it can be a little difficult to find street parking. There's also metered parking all around. It's overall a cute spot in the mission to try out!"
194,"I came here for Christmas Eve Dinner. Ambience on point. Loved the decor. Seats were a little uncomfortable (metal wire? With no cushions).The staff were very nice. We were seated quickly despite not having a prior reservation. Our server was attentive and helpful, offering to take a picture for us and going to far as to get the perfect lighting for the picture. He was a great help when we were deciding on our order.The focaccia was amazing. Hands down the best I've ever had. The entire table gobbled everything up, and we probably got 2 refills. I don't recall which drink I had, but both my brothers and my own were non-alcoholic (got different ones). We loved both. My dad got the espresso martini, which he enjoyed. I don't recall everything we got, but I do remember my mom getting a seafood pasta dish. I had the lasagna, which was yummy. I liked my dad's dish more, though. He had the white truffle mushroom ravioli. The flavor was lighter compared to my dish, but you could definitely taste the truffle. I think we got the crab cakes (also good), and I really want to say my brother had the risotto.Parking was pretty easy, we got a spot on the same block. The restaurant wasn't horribly busy, either."
195,"Very good restaurant! I ordered the lobster ravioli which was really good, and was also a big fan of both the bruschetta and calamari. I thought the brussel sprouts were just okay, and also thought the (free) bread was not very good (but again, it's free so can't complain too much there). The service was fantastic though - great recommendations on both wine and food, and incredibly kind and attentive! It's also a nice space, great for dinner with friends or a date night."
196,"I was craving italian food and this place really hit the spot. I love how on a nice day in the city you can eat outside on the sidewalk area but even the inside is a vibe too. They have cute plants on the wall and ambience is pretty upscale. Service was great and the food was SOOO delicious. Omg. The flavors of the sauces were just amazing. We got the gnocchi, beef tar tar and seafood pasta. All so good. I would definitely come here again"
197,"good simple Italian fare with solid pastas and pizzas. no gimmicks needed, just the type of place you and a few friends would enjoy sunday dinner together family style.  Amatriciana was the standout here, no pancetta substitute here, guanciale all the way!Food: 8/10Value: 8/10Service: 7/10Vibe: 8/10"
198,"Came out for a much-needed date night and Bottega was the perfect spot to go to. First off, the decor is amazing. Florals everywhere and a cute neon pink sign, it meets the needs for both girl brunch and romantic date night. We chose a seat by the open window so we could enjoy the warm weather and people-watch during our meal. For the food, we started off with the burrata alla caprese which is essentially just a caprese salad but with burrata instead of mozzarella cheese. Very creamy and refreshing, a nice way to start off the meal. They also bring out complimentary house focaccia throughout the meal which is buttery, soft, and savory. For my main, I decided to get the gnocchi with the bolognese sauce while my husband opted for the sacchetti. My meal was definitely the heavier and filling of the two - they don't skimp on the portion of pasta and the meat sauce is rich on its own. While my husband's meal portion is probably not enough to fill up someone who is pretty hungry, the dish itself was fantastic. I'm normally not a fan of blue cheese, but the combo of blue cheese, pears, and walnuts was spot on. The dish comes in a white cream sauce which pairs very well with the other flavors on the plate. A must-try. Even when I'm full after my meal, I'm a sucker for whatever dessert item looks unique. Here, it was the limoncello mascarpone cake. I was a little worried it would be too much on the lemony side, but the lemon flavor was actually just the right amount. Mixed in with the fluffy cake and the creamy mascarpone, this was the absolute perfect, refreshing yet satisfying dessert to end our meal. Bottega is a must-try! Looking forward to our next visit."
199,"The two times I've been here the pasta, bread and wine has been amazing. The first time I came here I got the truffle pasta. The second time I came here for a girls day early dinner. I got the walnut and pear tortellini and the truffle pizza it was amazing! My lovely date and i got an aperol sprit"
200,"I love taking my friends to Bottega- it's definitely one of my favorite spots for Italian in the city! I always leave feeling happy and satisfied with everything. Service is consistently good too. Food is absolutely amazing. I've tried the Mezzemaniche Boscaiola with Pink Sauce ($23) and I highly recommend it. The pasta is perfectly cooked and the sauce is so creamy and flavorful. Love that you can omit the peas since I don't like them. I also got the Pomodori Bruschetta ($10), Milliefoglie alla Crema and Tiramisu (both $10) and they did not disappoint! Also, worth mentioning that the interior is spacious and well decorated. If you're looking for a great Italian spot in the city I definitely recommend checking Bottega out."
201,"This is one of my go to Italian places these days. It's great for any type of occasion. The pastas are one of the best in the city and the ambiance is very inviting. I always order the artichokes, but highly suggest getting the fungi pizza, salmon fettucini, or anything with their truffle sauce. The servers are also super nice and most of them are from Italy or somewhere in Europe. There can be a wait sometimes, but at least there's yelp waitlist!"
202,"This is my favorite place to get pasta in the city or to order on DoorDash! It's so aesthetic, perfect for dinner out with the girlies or date night. Depending on when you come, there may or may not be a wait. There is an option to add yourself onto the Yelp waitlist remotely which is convenient. We always get wine to pair with our dinner. My two go-to pastas are the:*amatriciana: the spicy tomato sauce with the guanciale is so good; the perfect combination of spiciness with warm pasta*mezzemaniche boscaiola with pink sauce: the pink sauce is so creamy and flavorfulParking wise, it can be a little difficult to find street parking. There's also metered parking all around. It's overall a cute spot in the mission to try out!"
203,"I came here for Christmas Eve Dinner. Ambience on point. Loved the decor. Seats were a little uncomfortable (metal wire? With no cushions).The staff were very nice. We were seated quickly despite not having a prior reservation. Our server was attentive and helpful, offering to take a picture for us and going to far as to get the perfect lighting for the picture. He was a great help when we were deciding on our order.The focaccia was amazing. Hands down the best I've ever had. The entire table gobbled everything up, and we probably got 2 refills. I don't recall which drink I had, but both my brothers and my own were non-alcoholic (got different ones). We loved both. My dad got the espresso martini, which he enjoyed. I don't recall everything we got, but I do remember my mom getting a seafood pasta dish. I had the lasagna, which was yummy. I liked my dad's dish more, though. He had the white truffle mushroom ravioli. The flavor was lighter compared to my dish, but you could definitely taste the truffle. I think we got the crab cakes (also good), and I really want to say my brother had the risotto.Parking was pretty easy, we got a spot on the same block. The restaurant wasn't horribly busy, either."
204,"Very good restaurant! I ordered the lobster ravioli which was really good, and was also a big fan of both the bruschetta and calamari. I thought the brussel sprouts were just okay, and also thought the (free) bread was not very good (but again, it's free so can't complain too much there). The service was fantastic though - great recommendations on both wine and food, and incredibly kind and attentive! It's also a nice space, great for dinner with friends or a date night."
205,"I was craving italian food and this place really hit the spot. I love how on a nice day in the city you can eat outside on the sidewalk area but even the inside is a vibe too. They have cute plants on the wall and ambience is pretty upscale. Service was great and the food was SOOO delicious. Omg. The flavors of the sauces were just amazing. We got the gnocchi, beef tar tar and seafood pasta. All so good. I would definitely come here again"
206,"good simple Italian fare with solid pastas and pizzas. no gimmicks needed, just the type of place you and a few friends would enjoy sunday dinner together family style.  Amatriciana was the standout here, no pancetta substitute here, guanciale all the way!Food: 8/10Value: 8/10Service: 7/10Vibe: 8/10"
207,"Came out for a much-needed date night and Bottega was the perfect spot to go to. First off, the decor is amazing. Florals everywhere and a cute neon pink sign, it meets the needs for both girl brunch and romantic date night. We chose a seat by the open window so we could enjoy the warm weather and people-watch during our meal. For the food, we started off with the burrata alla caprese which is essentially just a caprese salad but with burrata instead of mozzarella cheese. Very creamy and refreshing, a nice way to start off the meal. They also bring out complimentary house focaccia throughout the meal which is buttery, soft, and savory. For my main, I decided to get the gnocchi with the bolognese sauce while my husband opted for the sacchetti. My meal was definitely the heavier and filling of the two - they don't skimp on the portion of pasta and the meat sauce is rich on its own. While my husband's meal portion is probably not enough to fill up someone who is pretty hungry, the dish itself was fantastic. I'm normally not a fan of blue cheese, but the combo of blue cheese, pears, and walnuts was spot on. The dish comes in a white cream sauce which pairs very well with the other flavors on the plate. A must-try. Even when I'm full after my meal, I'm a sucker for whatever dessert item looks unique. Here, it was the limoncello mascarpone cake. I was a little worried it would be too much on the lemony side, but the lemon flavor was actually just the right amount. Mixed in with the fluffy cake and the creamy mascarpone, this was the absolute perfect, refreshing yet satisfying dessert to end our meal. Bottega is a must-try! Looking forward to our next visit."
208,"The two times I've been here the pasta, bread and wine has been amazing. The first time I came here I got the truffle pasta. The second time I came here for a girls day early dinner. I got the walnut and pear tortellini and the truffle pizza it was amazing! My lovely date and i got an aperol sprit"
209,"First night in the bay and pasta sounded like a great idea. This place was so lively and fun and turned our ordinary Thursday into Thirsty Thursday. We ordered various pasta dishes and appetizers and they were all a bit smaller in size than we would have preferred, but still delicious nonetheness. Our waiters were so lovely, accomodating, a genuine joy to be around. I would definitely come back and recommend this spot for a lively atmophere."
210,"This is one of my go to Italian places these days. It's great for any type of occasion. The pastas are one of the best in the city and the ambiance is very inviting. I always order the artichokes, but highly suggest getting the fungi pizza, salmon fettucini, or anything with their truffle sauce. The servers are also super nice and most of them are from Italy or somewhere in Europe. There can be a wait sometimes, but at least there's yelp waitlist!"
211,"This is my favorite place to get pasta in the city or to order on DoorDash! It's so aesthetic, perfect for dinner out with the girlies or date night. Depending on when you come, there may or may not be a wait. There is an option to add yourself onto the Yelp waitlist remotely which is convenient. We always get wine to pair with our dinner. My two go-to pastas are the:*amatriciana: the spicy tomato sauce with the guanciale is so good; the perfect combination of spiciness with warm pasta*mezzemaniche boscaiola with pink sauce: the pink sauce is so creamy and flavorfulParking wise, it can be a little difficult to find street parking. There's also metered parking all around. It's overall a cute spot in the mission to try out!"
212,"I came here for Christmas Eve Dinner. Ambience on point. Loved the decor. Seats were a little uncomfortable (metal wire? With no cushions).The staff were very nice. We were seated quickly despite not having a prior reservation. Our server was attentive and helpful, offering to take a picture for us and going to far as to get the perfect lighting for the picture. He was a great help when we were deciding on our order.The focaccia was amazing. Hands down the best I've ever had. The entire table gobbled everything up, and we probably got 2 refills. I don't recall which drink I had, but both my brothers and my own were non-alcoholic (got different ones). We loved both. My dad got the espresso martini, which he enjoyed. I don't recall everything we got, but I do remember my mom getting a seafood pasta dish. I had the lasagna, which was yummy. I liked my dad's dish more, though. He had the white truffle mushroom ravioli. The flavor was lighter compared to my dish, but you could definitely taste the truffle. I think we got the crab cakes (also good), and I really want to say my brother had the risotto.Parking was pretty easy, we got a spot on the same block. The restaurant wasn't horribly busy, either."
213,"Very good restaurant! I ordered the lobster ravioli which was really good, and was also a big fan of both the bruschetta and calamari. I thought the brussel sprouts were just okay, and also thought the (free) bread was not very good (but again, it's free so can't complain too much there). The service was fantastic though - great recommendations on both wine and food, and incredibly kind and attentive! It's also a nice space, great for dinner with friends or a date night."
214,"I was craving italian food and this place really hit the spot. I love how on a nice day in the city you can eat outside on the sidewalk area but even the inside is a vibe too. They have cute plants on the wall and ambience is pretty upscale. Service was great and the food was SOOO delicious. Omg. The flavors of the sauces were just amazing. We got the gnocchi, beef tar tar and seafood pasta. All so good. I would definitely come here again"
215,"good simple Italian fare with solid pastas and pizzas. no gimmicks needed, just the type of place you and a few friends would enjoy sunday dinner together family style.  Amatriciana was the standout here, no pancetta substitute here, guanciale all the way!Food: 8/10Value: 8/10Service: 7/10Vibe: 8/10"
216,"Came out for a much-needed date night and Bottega was the perfect spot to go to. First off, the decor is amazing. Florals everywhere and a cute neon pink sign, it meets the needs for both girl brunch and romantic date night. We chose a seat by the open window so we could enjoy the warm weather and people-watch during our meal. For the food, we started off with the burrata alla caprese which is essentially just a caprese salad but with burrata instead of mozzarella cheese. Very creamy and refreshing, a nice way to start off the meal. They also bring out complimentary house focaccia throughout the meal which is buttery, soft, and savory. For my main, I decided to get the gnocchi with the bolognese sauce while my husband opted for the sacchetti. My meal was definitely the heavier and filling of the two - they don't skimp on the portion of pasta and the meat sauce is rich on its own. While my husband's meal portion is probably not enough to fill up someone who is pretty hungry, the dish itself was fantastic. I'm normally not a fan of blue cheese, but the combo of blue cheese, pears, and walnuts was spot on. The dish comes in a white cream sauce which pairs very well with the other flavors on the plate. A must-try. Even when I'm full after my meal, I'm a sucker for whatever dessert item looks unique. Here, it was the limoncello mascarpone cake. I was a little worried it would be too much on the lemony side, but the lemon flavor was actually just the right amount. Mixed in with the fluffy cake and the creamy mascarpone, this was the absolute perfect, refreshing yet satisfying dessert to end our meal. Bottega is a must-try! Looking forward to our next visit."
217,"The two times I've been here the pasta, bread and wine has been amazing. The first time I came here I got the truffle pasta. The second time I came here for a girls day early dinner. I got the walnut and pear tortellini and the truffle pizza it was amazing! My lovely date and i got an aperol sprit"
218,"First night in the bay and pasta sounded like a great idea. This place was so lively and fun and turned our ordinary Thursday into Thirsty Thursday. We ordered various pasta dishes and appetizers and they were all a bit smaller in size than we would have preferred, but still delicious nonetheness. Our waiters were so lovely, accomodating, a genuine joy to be around. I would definitely come back and recommend this spot for a lively atmophere."
219,"Be ready to become transported to Italy when entering. We came on a weekday afternoon, and luckily no wait. Very cute and trendy ambiance. So nice to take pictures of. Our servers were quick and food came out not too long afterwards Everything was so delicious. Craving their pasta as we speak. A must try in the city."
220,"This is my favorite place to get pasta in the city or to order on DoorDash! It's so aesthetic, perfect for dinner out with the girlies or date night. Depending on when you come, there may or may not be a wait. There is an option to add yourself onto the Yelp waitlist remotely which is convenient. We always get wine to pair with our dinner. My two go-to pastas are the:*amatriciana: the spicy tomato sauce with the guanciale is so good; the perfect combination of spiciness with warm pasta*mezzemaniche boscaiola with pink sauce: the pink sauce is so creamy and flavorfulParking wise, it can be a little difficult to find street parking. There's also metered parking all around. It's overall a cute spot in the mission to try out!"
221,"I came here for Christmas Eve Dinner. Ambience on point. Loved the decor. Seats were a little uncomfortable (metal wire? With no cushions).The staff were very nice. We were seated quickly despite not having a prior reservation. Our server was attentive and helpful, offering to take a picture for us and going to far as to get the perfect lighting for the picture. He was a great help when we were deciding on our order.The focaccia was amazing. Hands down the best I've ever had. The entire table gobbled everything up, and we probably got 2 refills. I don't recall which drink I had, but both my brothers and my own were non-alcoholic (got different ones). We loved both. My dad got the espresso martini, which he enjoyed. I don't recall everything we got, but I do remember my mom getting a seafood pasta dish. I had the lasagna, which was yummy. I liked my dad's dish more, though. He had the white truffle mushroom ravioli. The flavor was lighter compared to my dish, but you could definitely taste the truffle. I think we got the crab cakes (also good), and I really want to say my brother had the risotto.Parking was pretty easy, we got a spot on the same block. The restaurant wasn't horribly busy, either."
222,"Very good restaurant! I ordered the lobster ravioli which was really good, and was also a big fan of both the bruschetta and calamari. I thought the brussel sprouts were just okay, and also thought the (free) bread was not very good (but again, it's free so can't complain too much there). The service was fantastic though - great recommendations on both wine and food, and incredibly kind and attentive! It's also a nice space, great for dinner with friends or a date night."
223,"I was craving italian food and this place really hit the spot. I love how on a nice day in the city you can eat outside on the sidewalk area but even the inside is a vibe too. They have cute plants on the wall and ambience is pretty upscale. Service was great and the food was SOOO delicious. Omg. The flavors of the sauces were just amazing. We got the gnocchi, beef tar tar and seafood pasta. All so good. I would definitely come here again"
224,"good simple Italian fare with solid pastas and pizzas. no gimmicks needed, just the type of place you and a few friends would enjoy sunday dinner together family style.  Amatriciana was the standout here, no pancetta substitute here, guanciale all the way!Food: 8/10Value: 8/10Service: 7/10Vibe: 8/10"
225,"Came out for a much-needed date night and Bottega was the perfect spot to go to. First off, the decor is amazing. Florals everywhere and a cute neon pink sign, it meets the needs for both girl brunch and romantic date night. We chose a seat by the open window so we could enjoy the warm weather and people-watch during our meal. For the food, we started off with the burrata alla caprese which is essentially just a caprese salad but with burrata instead of mozzarella cheese. Very creamy and refreshing, a nice way to start off the meal. They also bring out complimentary house focaccia throughout the meal which is buttery, soft, and savory. For my main, I decided to get the gnocchi with the bolognese sauce while my husband opted for the sacchetti. My meal was definitely the heavier and filling of the two - they don't skimp on the portion of pasta and the meat sauce is rich on its own. While my husband's meal portion is probably not enough to fill up someone who is pretty hungry, the dish itself was fantastic. I'm normally not a fan of blue cheese, but the combo of blue cheese, pears, and walnuts was spot on. The dish comes in a white cream sauce which pairs very well with the other flavors on the plate. A must-try. Even when I'm full after my meal, I'm a sucker for whatever dessert item looks unique. Here, it was the limoncello mascarpone cake. I was a little worried it would be too much on the lemony side, but the lemon flavor was actually just the right amount. Mixed in with the fluffy cake and the creamy mascarpone, this was the absolute perfect, refreshing yet satisfying dessert to end our meal. Bottega is a must-try! Looking forward to our next visit."
226,"The two times I've been here the pasta, bread and wine has been amazing. The first time I came here I got the truffle pasta. The second time I came here for a girls day early dinner. I got the walnut and pear tortellini and the truffle pizza it was amazing! My lovely date and i got an aperol sprit"
227,"First night in the bay and pasta sounded like a great idea. This place was so lively and fun and turned our ordinary Thursday into Thirsty Thursday. We ordered various pasta dishes and appetizers and they were all a bit smaller in size than we would have preferred, but still delicious nonetheness. Our waiters were so lovely, accomodating, a genuine joy to be around. I would definitely come back and recommend this spot for a lively atmophere."
228,"Be ready to become transported to Italy when entering. We came on a weekday afternoon, and luckily no wait. Very cute and trendy ambiance. So nice to take pictures of. Our servers were quick and food came out not too long afterwards Everything was so delicious. Craving their pasta as we speak. A must try in the city."
229,"I loved this spot, the staff working were so accommodating and friendly. The space itself is super cute, even tho we had the option to eat inside we chose to sit outside bc they had ample heaters and it can be tight and a bit noisy inside. I ordered the Branzino and i can't recommend it enough, seasoned perfectly and cooked to perfection. Will def be back for pasta next time."
230,"I came here for Christmas Eve Dinner. Ambience on point. Loved the decor. Seats were a little uncomfortable (metal wire? With no cushions).The staff were very nice. We were seated quickly despite not having a prior reservation. Our server was attentive and helpful, offering to take a picture for us and going to far as to get the perfect lighting for the picture. He was a great help when we were deciding on our order.The focaccia was amazing. Hands down the best I've ever had. The entire table gobbled everything up, and we probably got 2 refills. I don't recall which drink I had, but both my brothers and my own were non-alcoholic (got different ones). We loved both. My dad got the espresso martini, which he enjoyed. I don't recall everything we got, but I do remember my mom getting a seafood pasta dish. I had the lasagna, which was yummy. I liked my dad's dish more, though. He had the white truffle mushroom ravioli. The flavor was lighter compared to my dish, but you could definitely taste the truffle. I think we got the crab cakes (also good), and I really want to say my brother had the risotto.Parking was pretty easy, we got a spot on the same block. The restaurant wasn't horribly busy, either."
231,"Very good restaurant! I ordered the lobster ravioli which was really good, and was also a big fan of both the bruschetta and calamari. I thought the brussel sprouts were just okay, and also thought the (free) bread was not very good (but again, it's free so can't complain too much there). The service was fantastic though - great recommendations on both wine and food, and incredibly kind and attentive! It's also a nice space, great for dinner with friends or a date night."
232,"I was craving italian food and this place really hit the spot. I love how on a nice day in the city you can eat outside on the sidewalk area but even the inside is a vibe too. They have cute plants on the wall and ambience is pretty upscale. Service was great and the food was SOOO delicious. Omg. The flavors of the sauces were just amazing. We got the gnocchi, beef tar tar and seafood pasta. All so good. I would definitely come here again"
233,"good simple Italian fare with solid pastas and pizzas. no gimmicks needed, just the type of place you and a few friends would enjoy sunday dinner together family style.  Amatriciana was the standout here, no pancetta substitute here, guanciale all the way!Food: 8/10Value: 8/10Service: 7/10Vibe: 8/10"
234,"Came out for a much-needed date night and Bottega was the perfect spot to go to. First off, the decor is amazing. Florals everywhere and a cute neon pink sign, it meets the needs for both girl brunch and romantic date night. We chose a seat by the open window so we could enjoy the warm weather and people-watch during our meal. For the food, we started off with the burrata alla caprese which is essentially just a caprese salad but with burrata instead of mozzarella cheese. Very creamy and refreshing, a nice way to start off the meal. They also bring out complimentary house focaccia throughout the meal which is buttery, soft, and savory. For my main, I decided to get the gnocchi with the bolognese sauce while my husband opted for the sacchetti. My meal was definitely the heavier and filling of the two - they don't skimp on the portion of pasta and the meat sauce is rich on its own. While my husband's meal portion is probably not enough to fill up someone who is pretty hungry, the dish itself was fantastic. I'm normally not a fan of blue cheese, but the combo of blue cheese, pears, and walnuts was spot on. The dish comes in a white cream sauce which pairs very well with the other flavors on the plate. A must-try. Even when I'm full after my meal, I'm a sucker for whatever dessert item looks unique. Here, it was the limoncello mascarpone cake. I was a little worried it would be too much on the lemony side, but the lemon flavor was actually just the right amount. Mixed in with the fluffy cake and the creamy mascarpone, this was the absolute perfect, refreshing yet satisfying dessert to end our meal. Bottega is a must-try! Looking forward to our next visit."
235,"The two times I've been here the pasta, bread and wine has been amazing. The first time I came here I got the truffle pasta. The second time I came here for a girls day early dinner. I got the walnut and pear tortellini and the truffle pizza it was amazing! My lovely date and i got an aperol sprit"
236,"First night in the bay and pasta sounded like a great idea. This place was so lively and fun and turned our ordinary Thursday into Thirsty Thursday. We ordered various pasta dishes and appetizers and they were all a bit smaller in size than we would have preferred, but still delicious nonetheness. Our waiters were so lovely, accomodating, a genuine joy to be around. I would definitely come back and recommend this spot for a lively atmophere."
237,"Be ready to become transported to Italy when entering. We came on a weekday afternoon, and luckily no wait. Very cute and trendy ambiance. So nice to take pictures of. Our servers were quick and food came out not too long afterwards Everything was so delicious. Craving their pasta as we speak. A must try in the city."
238,"I loved this spot, the staff working were so accommodating and friendly. The space itself is super cute, even tho we had the option to eat inside we chose to sit outside bc they had ample heaters and it can be tight and a bit noisy inside. I ordered the Branzino and i can't recommend it enough, seasoned perfectly and cooked to perfection. Will def be back for pasta next time."
239,"Their Friday and Saturday night hours extend to midnight now! Super lively energy even late at night (it's hard to find food spots open after 10pm in SF). Good vibes for parklet seating and indoor tables too Ordered the prosciutto burrata pizza in person for takeout, and it was really easy and only took 10 minutes for them to make! Came with red pepper and Parmesan on side.Pizza is a nice focaccia texture, more of a hefty bready bite flatbread but still soft/chewy. Burrata was so creamy. I thought there could have been more flavor outside of a saltiness, like a fruit, pesto, or pepper accompany the toppings.Would likely come back to try their pasta next time and get cocktails if with friends."
240,"Very good restaurant! I ordered the lobster ravioli which was really good, and was also a big fan of both the bruschetta and calamari. I thought the brussel sprouts were just okay, and also thought the (free) bread was not very good (but again, it's free so can't complain too much there). The service was fantastic though - great recommendations on both wine and food, and incredibly kind and attentive! It's also a nice space, great for dinner with friends or a date night."
241,"I was craving italian food and this place really hit the spot. I love how on a nice day in the city you can eat outside on the sidewalk area but even the inside is a vibe too. They have cute plants on the wall and ambience is pretty upscale. Service was great and the food was SOOO delicious. Omg. The flavors of the sauces were just amazing. We got the gnocchi, beef tar tar and seafood pasta. All so good. I would definitely come here again"
242,"good simple Italian fare with solid pastas and pizzas. no gimmicks needed, just the type of place you and a few friends would enjoy sunday dinner together family style.  Amatriciana was the standout here, no pancetta substitute here, guanciale all the way!Food: 8/10Value: 8/10Service: 7/10Vibe: 8/10"
243,"Came out for a much-needed date night and Bottega was the perfect spot to go to. First off, the decor is amazing. Florals everywhere and a cute neon pink sign, it meets the needs for both girl brunch and romantic date night. We chose a seat by the open window so we could enjoy the warm weather and people-watch during our meal. For the food, we started off with the burrata alla caprese which is essentially just a caprese salad but with burrata instead of mozzarella cheese. Very creamy and refreshing, a nice way to start off the meal. They also bring out complimentary house focaccia throughout the meal which is buttery, soft, and savory. For my main, I decided to get the gnocchi with the bolognese sauce while my husband opted for the sacchetti. My meal was definitely the heavier and filling of the two - they don't skimp on the portion of pasta and the meat sauce is rich on its own. While my husband's meal portion is probably not enough to fill up someone who is pretty hungry, the dish itself was fantastic. I'm normally not a fan of blue cheese, but the combo of blue cheese, pears, and walnuts was spot on. The dish comes in a white cream sauce which pairs very well with the other flavors on the plate. A must-try. Even when I'm full after my meal, I'm a sucker for whatever dessert item looks unique. Here, it was the limoncello mascarpone cake. I was a little worried it would be too much on the lemony side, but the lemon flavor was actually just the right amount. Mixed in with the fluffy cake and the creamy mascarpone, this was the absolute perfect, refreshing yet satisfying dessert to end our meal. Bottega is a must-try! Looking forward to our next visit."
244,"The two times I've been here the pasta, bread and wine has been amazing. The first time I came here I got the truffle pasta. The second time I came here for a girls day early dinner. I got the walnut and pear tortellini and the truffle pizza it was amazing! My lovely date and i got an aperol sprit"
